Ref,Val,Package,PosX,PosY,Rot,Side
"U4","OPTICAL-TSL2561T(6P-3.8X2.6MM)","TMB6-1.55-3.8X2.6MM",16.250000,19.800000,90.000000,bottom
"Z1","~","Selector_default",11.633200,15.950800,0.000000,bottom
"Z2","~","Selector_default",77.600000,20.500000,90.000000,bottom
"Z3","~","Selector_default",71.577200,20.017200,90.000000,bottom
"C1","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",9.775000,18.200000,90.000000,top
"C2","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",24.600000,20.325000,90.000000,top
"C3","1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",4.000000,16.900000,180.000000,top
"C4","0.1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",14.484000,5.900000,-90.000000,top
"C5","1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",11.550000,8.900000,180.000000,top
"C6","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",5.625000,19.075000,90.000000,top
"C7","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",9.850000,10.300000,-90.000000,top
"C8","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",6.625000,19.050000,90.000000,top
"C9","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",14.600000,8.300000,-90.000000,top
"C10","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",19.304000,20.322000,0.000000,top
"C11","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",15.575000,8.300000,-90.000000,top
"C12","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",4.000000,17.900000,180.000000,top
"C13","1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",10.775000,18.975000,90.000000,top
"C14","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",2.050000,12.450000,180.000000,top
"D1","1N4148WS","D_SOD-323",14.900000,2.200000,0.000000,top
"D3","1N4148WS","D_SOD-323",82.575000,7.000000,0.000000,top
"D4","1N4148WS","D_SOD-323",81.425000,23.800000,90.000000,top
"D5","LED","D_0603_1608Metric_Pad1.05x0.95mm_HandSolder",27.940000,25.402000,180.000000,top
"D6","LED","D_0603_1608Metric_Pad1.05x0.95mm_HandSolder",27.940000,26.926000,180.000000,top
"J1","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",29.800000,11.425000,0.000000,top
"J3","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",26.200000,11.425000,0.000000,top
"Q1","Q_NMOS_GSD","SOT-23",82.575000,9.650000,0.000000,top
"Q2","Q_NMOS_GSD","SOT-23",85.250000,25.000000,180.000000,top
"Q3","Q_PMOS_GSD","SOT-23",74.325000,10.575000,90.000000,top
"Q4","MMBT3904","SOT-23",65.102500,22.928000,180.000000,top
"R1","27.4","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",7.784000,18.100000,90.000000,top
"R2","27.4","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",8.800000,18.100000,90.000000,top
"R3","1k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",7.112000,3.050000,90.000000,top
"R4","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",8.128000,3.050000,90.000000,top
"R5","12k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",10.702500,3.500000,0.000000,top
"R6","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",10.702500,2.500000,180.000000,top
"R9","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",23.625000,20.300000,90.000000,top
"R10","12k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",22.600000,20.300000,-90.000000,top
"R11","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",13.200000,21.150000,0.000000,top
"R12","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",12.775000,20.150000,0.000000,top
"R13","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",75.475000,17.125000,-90.000000,top
"R14","12k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",75.500000,14.850000,-90.000000,top
"R15","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",74.275000,17.125000,-90.000000,top
"R16","12k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",74.275000,14.775000,-90.000000,top
"R17","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",82.500000,16.175000,180.000000,top
